# x_49,y_24,rho_1176
8.877551020408162685e+01,6.250000000000000000e+00,0.000000000000000000e+00
9.081632653061225824e+01,6.250000000000000000e+00,0.000000000000000000e+00
9.285714285714286120e+01,6.250000000000000000e+00,0.000000000000000000e+00
9.489795918367346417e+01,6.250000000000000000e+00,0.000000000000000000e+00
9.693877551020409555e+01,6.250000000000000000e+00,0.000000000000000000e+00
9.897959183673469852e+01,6.250000000000000000e+00,0.000000000000000000e+00
1.020408163265306145e+00,1.041666666666666785e+01,3.079999999999999405e-02
3.061224489795918657e+00,1.041666666666666785e+01,3.079999999999999405e-02
5.102040816326530503e+00,1.041666666666666785e+01,4.479999999999999261e-02
7.142857142857143238e+00,1.041666666666666785e+01,2.519999999999999324e-02
9.183673469387755972e+00,1.041666666666666785e+01,3.639999999999999486e-02
1.122448979591836782e+01,1.041666666666666785e+01,3.359999999999999098e-02
1.326530612244897966e+01,1.041666666666666785e+01,2.799999999999999364e-02
1.530612244897959329e+01,1.041666666666666785e+01,3.639999999999999486e-02
1.734693877551020336e+01,1.041666666666666785e+01,2.519999999999999324e-02
1.938775510204081698e+01,1.041666666666666785e+01,4.479999999999999261e-02
2.142857142857143060e+01,1.041666666666666785e+01,3.079999999999999405e-02
2.346938775510204067e+01,1.041666666666666785e+01,3.639999999999999486e-02
2.551020408163265429e+01,1.041666666666666785e+01,3.639999999999999486e-02
2.755102040816326792e+01,1.041666666666666785e+01,3.079999999999999405e-02
2.959183673469387799e+01,1.041666666666666785e+01,3.639999999999999486e-02
3.163265306122448806e+01,1.041666666666666785e+01,3.639999999999999486e-02
3.367346938775510523e+01,1.041666666666666785e+01,3.639999999999999486e-02
3.571428571428571530e+01,1.041666666666666785e+01,3.079999999999999405e-02
3.775510204081632537e+01,1.041666666666666785e+01,2.799999999999999364e-02
3.979591836734694255e+01,1.041666666666666785e+01,3.079999999999999405e-02
4.183673469387755262e+01,1.041666666666666785e+01,4.199999999999998873e-02
4.387755102040816269e+01,1.041666666666666785e+01,3.919999999999999180e-02
4.591836734693877986e+01,1.041666666666666785e+01,4.199999999999998873e-02
4.795918367346938993e+01,1.041666666666666785e+01,3.639999999999999486e-02
5.000000000000000000e+01,1.041666666666666785e+01,2.239999999999999630e-02
5.204081632653061718e+01,1.041666666666666785e+01,3.359999999999999098e-02
5.408163265306122014e+01,1.041666666666666785e+01,2.239999999999999630e-02
